time_zone,abbr,name,description,latitude,longitude
Central Standard Time,AL,Alabama,montgomery,32.377716,-86.300568
Alaska Standard Time,AK,Alaska,juneau,58.301598,-134.420212
Mountain Standard Time,AZ,Arizona,phoenix,33.448143,-112.096962
Central Standard Time,AR,Arkansas,little rock,34.746613,-92.288986
Pacific Standard Time,CA,California,sacramento,38.576668,-121.493629
Mountain Standard Time,CO,Colorado,denver,39.739227,-104.984856
Eastern Standard Time,CT,Connecticut,hartford,41.764046,-72.682198
Eastern Standard Time,DE,Delaware,dover,39.157307,-75.519722
Hawaii-Aleutian Standard Time,HI,Hawaii,honolulu,21.307442000000002,-157.857376
Eastern Standard Time,FL,Florida,tallahassee,30.438118,-84.281296
Eastern Standard Time,GA,Georgia,atlanta,33.749027,-84.388229
Mountain Standard Time,ID,Idaho,boise,43.617775,-116.199722
Central Standard Time,IL,Illinois,springfield,39.798363,-89.654961
Eastern Standard Time,IN,Indiana,indianapolis,39.768623,-86.162643
Central Standard Time,IA,Iowa,des moines,41.591087,-93.603729
Central Standard Time,KS,Kansas,topeka,39.048191,-95.677956
Eastern Standard Time,KY,Kentucky,frankfort,38.186722,-84.875374
Central Standard Time,LA,Louisiana,baton rouge,30.457069,-91.187393
Eastern Standard Time,ME,Maine,augusta,44.307167,-69.781693
Eastern Standard Time,MD,Maryland,annapolis,38.978764,-76.490936
Eastern Standard Time,MA,Massachusetts,boston,42.358162,-71.063698
Eastern Standard Time,MI,Michigan,lansing,42.733635,-84.555328
Central Standard Time,MN,Minnesota,st. paul,44.955097,-93.102211
Central Standard Time,MS,Mississippi,jackson,32.303848,-90.182106
Central Standard Time,MO,Missouri,jefferson city,38.579201,-92.172935
Mountain Standard Time,MT,Montana,helena,46.585709,-112.018417
Central Standard Time,NE,Nebraska,lincoln,40.808075,-96.699654
Pacific Standard Time,NV,Nevada,carson city,39.163914,-119.766121
Eastern Standard Time,NH,New Hampshire,concord,43.206898,-71.537994
Eastern Standard Time,NJ,New Jersey,trenton,40.220596,-74.769913
Mountain Standard Time,NM,New Mexico,santa fe,35.68224,-105.939728
Eastern Standard Time,NC,North Carolina,raleigh,35.78043,-78.639099
Central Standard Time,ND,North Dakota,bismarck,46.82085,-100.783318
Eastern Standard Time,NY,New York,albany,42.652843,-73.757874
Eastern Standard Time,OH,Ohio,columbus,39.961346,-82.999069
Central Standard Time,OK,Oklahoma,oklahoma city,35.492207,-97.503342
Pacific Standard Time,OR,Oregon,salem,44.938461,-123.030403
Eastern Standard Time,PA,Pennsylvania,harrisburg,40.264378,-76.883598
Eastern Standard Time,RI,Rhode Island,providence,41.830914,-71.414963
Eastern Standard Time,SC,South Carolina,columbia,34.000343,-81.033211
Central Standard Time,SD,South Dakota,pierre,44.367031,-100.346405
Central Standard Time,TN,Tennessee,nashville,36.16581,-86.784241
Central Standard Time,TX,Texas,austin,30.27467,-97.740349
Mountain Standard Time,UT,Utah,salt lake city,40.777477,-111.888237
Eastern Standard Time,VT,Vermont,montpelier,44.262436,-72.580536
Eastern Standard Time,VA,Virginia,richmond,37.538857,-77.43364
Pacific Standard Time,WA,Washington,olympia,47.035805,-122.905014
Eastern Standard Time,WV,West Virginia,charleston,38.336246,-81.612328
Central Standard Time,WI,Wisconsin,madison,43.074684,-89.384445
Mountain Standard Time,WY,Wyoming,cheyenne,41.140259,-104.820236
