hole#,par,handicap,yards,eaglesegl,birdiesbrd,parspar,bogeysbog,d_bogeysdbl,other,avg,to_par,url
1,4,7.0,375,0,10,48,28,5,7,4.55,0.55,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
2,3,15.0,152,0,5,38,37,15,3,3.72,0.72,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
3,5,9.0,545,0,10,57,24,6,1,5.29,0.29,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
4,5,5.0,534,0,7,58,30,2,1,5.3,0.3,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
5,3,17.0,149,0,3,65,26,4,0,3.31,0.31,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
6,4,3.0,440,0,1,36,47,10,4,4.79,0.79,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
7,3,13.0,179,0,5,48,37,6,2,3.52,0.52,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
8,4,11.0,420,0,2,41,40,13,2,4.71,0.71,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
9,5,1.0,520,1,16,50,23,5,3,5.24,0.24,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
10,3,16.0,128,0,5,66,19,5,3,3.34,0.34,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
11,4,4.0,430,1,3,49,34,7,4,4.57,0.57,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
12,4,10.0,400,0,4,56,26,8,4,4.56,0.56,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
13,3,18.0,185,0,0,41,45,10,2,3.72,0.72,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
14,4,6.0,400,0,4,47,21,19,7,4.79,0.79,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
15,5,12.0,492,0,23,43,22,7,3,5.23,0.23,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
16,4,8.0,410,0,4,52,31,9,2,4.52,0.52,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
17,3,14.0,210,0,2,28,51,12,5,3.9,0.9,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
18,5,2.0,545,0,8,46,26,13,5,5.61,0.61,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
Totals,71,,6514,2,112,869,567,156,58,80.67,9.67,https://wsga.bluegolf.com/bluegolf/wsga18/event/wsga186/contest/1/course/oaksgc/stat/index.htm
1,4,7.0,358,0,10,50,24,9,3,4.43,0.43,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
2,3,15.0,150,0,3,37,48,7,1,3.64,0.64,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
3,5,9.0,530,0,15,63,14,4,0,5.07,0.07,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
4,5,5.0,526,1,14,52,27,2,0,5.15,0.15,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
5,3,17.0,150,0,6,50,26,14,0,3.5,0.5,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
6,4,3.0,440,0,3,32,39,18,4,4.87,0.87,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
7,3,13.0,173,0,2,51,37,3,3,3.53,0.53,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
8,4,11.0,400,0,3,39,37,12,5,4.78,0.78,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
9,5,1.0,515,2,27,44,19,3,1,4.96,-0.04,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
10,3,16.0,150,0,10,64,18,2,2,3.19,0.19,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
11,4,4.0,413,0,4,46,34,9,3,4.59,0.59,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
12,4,10.0,385,0,4,42,36,10,4,4.66,0.66,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
13,3,18.0,180,0,2,44,44,6,0,3.56,0.56,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
14,4,6.0,406,0,3,34,32,13,14,5.13,1.13,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
15,5,12.0,490,1,22,39,20,11,3,5.3,0.3,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
16,4,8.0,410,0,5,52,29,8,2,4.5,0.5,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
17,3,14.0,205,0,3,52,33,7,1,3.5,0.5,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
18,5,2.0,544,0,10,49,27,10,0,5.38,0.38,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
Totals,71,,6425,4,146,840,544,148,46,79.74,8.74,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1744/contest/1/course/oaksgc/stat/index.htm
1,4,11.0,350,0,3,27,11,8,2,4.62,0.62,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
2,3,17.0,152,0,0,13,24,11,3,4.07,1.07,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
3,5,5.0,525,1,8,28,9,4,1,5.19,0.19,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
4,5,3.0,524,0,3,26,18,3,1,5.47,0.47,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
5,3,13.0,157,0,3,25,15,4,4,3.64,0.64,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
6,4,7.0,427,0,3,25,21,2,0,4.43,0.43,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
7,3,15.0,160,0,3,25,20,3,0,3.45,0.45,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
8,4,9.0,392,0,5,24,13,6,3,4.58,0.58,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
9,5,1.0,500,2,10,28,7,3,1,5.05,0.05,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
10,3,16.0,126,0,2,22,21,4,2,3.64,0.64,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
11,4,10.0,412,0,2,17,23,5,4,4.86,0.86,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
12,4,12.0,386,0,3,11,25,7,5,5.05,1.05,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
13,3,18.0,185,0,1,22,21,6,1,3.68,0.68,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
14,4,6.0,398,0,2,12,13,14,10,5.47,1.47,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
15,5,4.0,485,1,15,19,11,3,2,5.11,0.11,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
16,4,8.0,400,0,3,22,20,5,1,4.58,0.58,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
17,3,14.0,215,0,2,28,16,5,0,3.47,0.47,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
18,5,2.0,543,0,6,21,21,3,0,5.41,0.41,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
Totals,71,,6337,4,74,395,309,96,40,81.77,10.77,https://wsga.bluegolf.com/bluegolf/wsga15/event/wsga1556/contest/4/course/oaksgc/stat/index.htm
1,4,11.0,355,0,0,17,11,3,1,4.65,0.65,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
2,3,17.0,150,0,0,17,15,0,0,3.46,0.46,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
3,5,5.0,519,2,12,14,3,1,0,4.65,-0.35,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
4,5,3.0,525,0,5,16,9,2,0,5.25,0.25,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
5,3,13.0,163,0,0,15,15,2,0,3.59,0.59,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
6,4,7.0,430,0,2,17,12,1,0,4.37,0.37,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
7,3,15.0,175,0,0,16,15,1,0,3.53,0.53,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
8,4,9.0,400,0,4,9,15,3,1,4.65,0.65,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
9,5,1.0,500,0,4,13,11,3,1,5.5,0.5,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
10,3,16.0,154,0,2,14,13,3,0,3.53,0.53,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
11,4,10.0,427,0,0,12,15,3,2,4.84,0.84,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
12,4,12.0,400,0,0,14,13,5,0,4.71,0.71,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
13,3,18.0,180,0,2,18,11,1,0,3.34,0.34,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
14,4,6.0,398,0,0,8,13,6,5,5.25,1.25,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
15,5,4.0,490,2,10,13,3,1,3,5.06,0.06,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
16,4,8.0,400,0,2,21,5,3,1,4.37,0.37,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
17,3,14.0,200,0,1,13,16,2,0,3.59,0.59,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
18,5,2.0,520,0,8,15,6,1,2,5.4,0.4,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
Totals,71,,6386,4,52,262,201,41,16,79.74,8.74,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1437/contest/1/course/oaksgc/stat/index.htm
1,4,7.0,372,0,4,40,23,8,4,4.63,0.63,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
2,3,15.0,155,0,4,27,38,6,4,3.75,0.75,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
3,5,9.0,552,2,29,29,15,4,0,4.87,-0.13,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
4,5,5.0,534,0,3,27,36,10,3,5.79,0.79,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
5,3,17.0,171,0,3,34,32,10,0,3.62,0.62,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
6,4,3.0,467,0,5,34,28,8,4,4.67,0.67,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
7,3,13.0,192,0,2,36,32,7,2,3.63,0.63,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
8,4,11.0,421,0,9,27,32,7,4,4.64,0.64,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
9,5,1.0,518,1,19,45,11,2,1,4.96,-0.04,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
10,3,16.0,174,0,3,46,24,6,0,3.41,0.41,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
11,4,4.0,431,0,3,31,34,6,5,4.75,0.75,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
12,4,10.0,403,0,0,29,36,10,4,4.87,0.87,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
13,3,18.0,187,0,0,30,40,8,1,3.74,0.74,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
14,4,6.0,435,0,0,38,26,10,5,4.81,0.81,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
15,5,12.0,528,2,31,30,14,2,0,4.78,-0.22,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
16,4,8.0,436,0,8,31,33,6,1,4.51,0.51,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
17,3,14.0,240,0,0,32,37,8,2,3.74,0.74,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
18,5,2.0,547,1,21,34,17,3,2,5.08,0.08,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
Totals,71,,6763,6,144,600,508,121,42,80.25,9.25,https://wsga.bluegolf.com/bluegolf/wsga12/event/wsga1243/contest/1/course/oaksgc/stat/index.htm
